STATION,DATE,MAX
72530094846,2013-05-08,79.0
72530094846,2013-05-09,79.0
72530094846,2013-05-10,64.9
72530094846,2013-05-11,60.1
72530094846,2013-05-12,60.1
72530094846,2013-05-13,64.0
72530094846,2013-05-14,90.0
72530094846,2013-05-15,84.2
72530094846,2013-05-16,84.0
72530094846,2013-05-17,82.9
72530094846,2013-05-18,80.1
72530094846,2013-05-19,86.0
72530094846,2013-05-20,88.0
72530094846,2013-05-21,89.1
72530094846,2013-05-22,77.0
72530094846,2013-05-23,73.0
72530094846,2013-05-24,57.0
72530094846,2013-05-25,57.0
72530094846,2013-05-26,68.0
72530094846,2013-05-27,68.0
72530094846,2013-05-28,75.9
72530094846,2013-05-29,84.0
72530094846,2013-05-30,84.0
72530094846,2013-05-31,82.9
72530094846,2013-06-01,77.0
72530094846,2013-06-02,75.9
72530094846,2013-06-03,68.0
72530094846,2013-06-04,72.0
72530094846,2013-06-05,73.4
72530094846,2013-06-06,73.0
72530094846,2013-06-07,68.0
72530094846,2013-06-08,73.9
72530094846,2013-06-09,80.1
72530094846,2013-06-10,80.1
72530094846,2013-06-11,82.9
72530094846,2013-06-12,86.0
72530094846,2013-06-13,73.0
72530094846,2013-06-14,78.1
72530094846,2013-06-15,80.1
72530094846,2013-06-16,86.0
72530094846,2013-06-17,88.0
72530094846,2013-06-18,84.9
72530094846,2013-06-19,75.0
72530094846,2013-06-20,86.0
72530094846,2013-06-21,86.0
72530094846,2013-06-22,82.0
72530094846,2013-06-23,87.1
72530094846,2013-06-24,89.1
72530094846,2013-06-25,91.9
72530094846,2013-06-26,84.9
72530094846,2013-06-27,90.0
72530094846,2013-06-28,90.0
72530094846,2013-06-29,82.9
72530094846,2013-06-30,77.0
72530094846,2013-07-01,77.0
72530094846,2013-07-02,75.0
72530094846,2013-07-03,72.0
72530094846,2013-07-04,82.9
72530094846,2013-07-05,86.0
72530094846,2013-07-06,86.0
72530094846,2013-07-07,88.0
72530094846,2013-07-08,88.0
72530094846,2013-07-09,86.0
72530094846,2013-07-10,84.9
72530094846,2013-07-11,84.9
72530094846,2013-07-12,82.9
72530094846,2013-07-13,84.0
72530094846,2013-07-14,88.0
72530094846,2013-07-15,89.1
72530094846,2013-07-16,91.9
72530094846,2013-07-17,93.9
72530094846,2013-07-18,95.0
72530094846,2013-07-19,96.1
72530094846,2013-07-20,96.1
72530094846,2013-07-21,89.1
72530094846,2013-07-22,88.0
72530094846,2013-07-23,87.1
72530094846,2013-07-24,72.0
72530094846,2013-07-25,81.0
72530094846,2013-07-26,81.0
72530094846,2013-07-27,70.0
72530094846,2013-07-28,69.1
72530094846,2013-07-29,75.9
72530094846,2013-07-30,75.9
72530094846,2013-07-31,75.0
72530094846,2013-08-01,81.0
72530094846,2013-08-02,84.0
72530094846,2013-08-03,84.0
72530094846,2013-08-04,81.0
72530094846,2013-08-05,75.0
72530094846,2013-08-06,82.9
72530094846,2013-08-07,89.1
72530094846,2013-08-08,89.1
